,City,ID,Lat,Lon,Temp
418,Chrysoupolis,735747,40.985561,24.69389,4.91
419,Thessaloniki,734077,40.640282,22.94389,2.0
420,Kastoria,735927,40.51667,21.26667,-3.61
421,Luqa,2562788,35.858891,14.48861,12.0
422,Cagliari,2525473,39.207378,9.13462,9.52
423,Sassari,3167096,40.727219,8.56028,12.0
424,Olbia,3172087,40.921371,9.48563,12.0
425,Oristano,2523964,39.903061,8.59194,8.0
426,Lampedusa,2524459,35.5,12.6,15.0
427,Gela,2524653,37.080341,14.23068,8.0
428,Catania,2525068,37.502129,15.08719,8.29
429,Sciacca,2523194,37.506931,13.08399,9.0
430,Reggio Calabria,2523630,38.11047,15.66129,12.5
431,Palermo,2523920,38.115822,13.35976,10.0
432,Catanzaro,2525059,38.890789,16.5987,13.0
433,Lecce,3174953,40.357029,18.17202,8.78
434,Scalea,2523207,39.813,15.79558,13.31
435,Policoro,3170384,40.21151,16.67259,5.63
436,Napoli,3172394,40.833328,14.25,9.01
437,Caserta,3179866,41.083221,14.33493,9.14
438,Ponza,3170189,40.893799,12.9625,15.06
439,Bari,1276948,26.65,77.599998,6.01
440,Vieste,3164387,41.88245,16.174959,11.61
441,Roma,2151187,-26.58333,148.783325,22.64
442,Pescara,3171168,42.460239,14.21021,5.0
443,Terni,3165771,42.567131,12.64987,6.14
444,Grosseto,3175786,42.77142,11.10794,12.0
445,Ancona,2177915,-36.98333,145.816666,12.91
446,Arezzo,3182884,43.461391,11.87691,11.3
447,Pisa,3170647,43.71553,10.39659,12.87
448,San Marino,3168070,43.933331,12.45,3.34
449,Bologna,3181928,44.493809,11.33875,3.0
450,Ferrara,3177090,44.826778,11.62071,3.0
451,Genoa,2165758,-37.48333,149.583328,18.0
452,Trieste,3165185,45.648609,13.78,5.6
453,Venezia,3164603,45.43861,12.32667,3.4
454,Verona,2145255,-36.466671,149.816666,18.0
455,Milano,3173435,45.464272,9.18951,1.63
456,Torino,3165524,45.070492,7.68682,0.0
457,Aosta,3182997,45.737358,7.3166,-3.04
458,Tarvisio,3165912,46.51083,13.59417,-2.0
459,Dobbiaco,3177571,46.7425,12.23139,-2.0
460,Trento,1681333,8.04583,126.063606,21.39
461,Bolzano,3181913,46.492722,11.33358,-1.49
462,Kurdzhali,729794,41.650002,25.366671,-1.0
463,Sandanski,727447,41.566669,23.283331,-5.76
464,Burgas,732770,42.506062,27.46781,0.0
465,Sliven,727079,42.685829,26.32917,0.0
466,Varna,1487764,53.381939,60.97472,-20.59
467,Razgrad,727696,43.533329,26.51667,-8.66
468,Vidin,725905,43.990002,22.872499,-6.39
469,Mangalia,673921,43.799999,28.58333,-3.0
470,Turnu Magurele,664437,43.75,24.866671,-4.0
471,Calarasi,618454,47.25444,28.30806,-3.56
472,Videle,662976,44.278061,25.524441,-3.0
473,Grivita,676706,46.150002,27.65,-9.66
474,Moldova Noua,672912,44.737499,21.666941,6.0
475,Ploiesti,670474,44.950001,26.01667,-3.0
476,Curtea de Arges,679907,45.133331,24.683331,-9.49
477,Targu Jiu,665010,45.049999,23.283331,-9.49
478,Resita,668954,45.300831,21.88917,6.0
479,Ramnicu Sarat,668873,45.383331,27.049999,-7.89
480,Brasov,683844,45.648609,25.606131,-10.74
481,Sibiu,667268,45.799999,24.15,-6.0
482,Deva,6609681,56.289169,42.941181,-13.0
483,Arad,686254,46.183331,21.316669,1.9
484,Targu Ocna,665002,46.283329,26.616671,-3.0
485,Odorheiu Secuiesc,671964,46.299999,25.299999,-7.34
486,Baisoara,685773,46.583328,23.466669,-3.0
487,Holod,676070,46.783329,22.133329,4.0
488,Negresti,672375,46.833328,27.433331,-3.48
489,Bistrita,684657,47.13316,24.500111,-3.74
490,Supuru de Jos,665758,47.466671,22.799999,1.46
491,Suceava,665850,47.633331,26.25,-1.0
492,Sighetu Marmatiei,667227,47.933331,23.883329,1.0
493,Neum,3194514,42.923328,17.615561,6.0
494,Sarajevo,3191281,43.84864,18.35644,-2.0
495,Tuzla,3188582,44.542782,18.669439,-5.0
496,Banja Luka,3204541,44.775829,17.18556,2.0
497,Split,3190261,43.508911,16.43915,2.81
498,Dubrovnik,3201047,42.648071,18.092159,6.0
499,Zadar,3186952,44.11972,15.24222,10.61
500,Karlovac,3198259,45.487221,15.54778,7.0
501,Rijeka,3191648,45.34306,14.40917,7.3
502,Pula,2523675,39.009998,9.00167,9.52
503,Varazdin,3188383,46.30444,16.33778,5.08
504,Tirana,3183875,41.327499,19.81889,8.0
505,Sarande,363243,39.875561,20.00528,10.0
506,Skopje,785842,42.0,21.433331,-3.0
507,Prilep,786734,42.5075,20.31778,-3.0
